CAFE INTERNET OCHO.COM;TRANSVERSAL 35 No 38 - 72 SUR;ANTONIO NARI�O;VILLA MAYOR ORIENTAL;Perdomo;TV 35 38 72 SUR;4.59408348071765;-74.1231369744062
MISCELANEA HERLOZ;CARRERA 29A No 20 - 30 SUR;ANTONIO NARI�O;SANTANDER;Perdomo;KR 29 A 20 30 SUR;4.59182927807598;-74.1102831184369
DEPRISA RESTREPO;CALLE 15 SUR NO 18 - 58;ANTONIO NARI�O;RESTREPO;Ciudad Bolivar;CL 15 SUR 18 58;4.58714191852605;-74.1000993344621
CABINAS TELEFONICAS CLARO CELULACER;CARRERA 24 No 16 - 31 SUR;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;KR 24 16 31 SUR;4.58755445329445;-74.1016962959322
PAPELERIA LINDA - MICELANA LINDA;TRANSVERSAL 35 No 29 - 78 SUR;ANTONIO NARI�O;EDUARDO FREY;Perdomo;TV 35 29 78 SUR;4.594847255408814;-74.11620569299897
CAFE INTERNET TELECABINAS E INTERNTET;CALLE 22 SUR No 12B - 54;ANTONIO NARI�O;CIUDAD JARDIN SUR;Usme;CL 22 SUR 12 B 54;4.57862293359456;-74.1002956766337
DROGUERIA HEROES;CALLE 22 SUR NO 12H - 77;ANTONIO NARI�O;CIUDAD JARDIN SUR;Usme;CL 22 SUR 12 H 77;4.58060309907803;-74.1018402270233
CAFE INTERNET COMPU LIBS;CALLE 12 SUR No 14 - 51;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;CL 12 SUR 14 51;4.58586495330525;-74.0950372230429
MISCELANEA LA GATA;CARRERA 14A No 10 32 SUR PISO 1;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;KR 14 A 10 32 SUR;4.58702496591816;-74.0947022409395
CAFE INTERNET COMUNICACIONES DMN;CARRERA 29C No 16 - 28 SUR;ANTONIO NARI�O;LA FRAGUA;Perdomo;KR 29 C 16 28 SUR;4.59514848069223;-74.1086546390671
CAFE INTERNET J Y J SOLUCIONES;AVENIDA CALLE 11 SUR No 11A 33 LOCAL 2;ANTONIO NARI�O;CIUDAD BERNA;Usme;AC 11 SUR 11 A 33;4.583399084622508;-74.09233395651658
MISCELANEA ELECTROLUNA;CALLE 22 SUR No 30 - 23 LOCAL 10 Y 11;ANTONIO NARI�O;SANTANDER SUR;Perdomo;CL 22 SUR 30 23;4.59173613350716;-74.1109036114216
SUPER DROGUERIA RESTREPO;CARRERA 24 No 13 - 16 SUR;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;KR 24 13 16 SUR;4.59015029335791;-74.1017640821804
CAFE INTERNET CYBER WEB 3 0;CARRERA 24B No 16 - 06 SUR;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;KR 24 B 16 06 SUR;4.59023211865772;-74.103620621545
MISCELANEA VARIEDADES EMMANUEL;CARRERA 26 No 20 - 00 SUR;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;KR 26 20 00 SUR;4.58915868476582;-74.1078891875251
DEPRISA BOGOTA LA VALVANERA;CARRERA 24D No 18 - 62 SUR;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;KR 24 D 18 62 SUR;4.58740653724959;-74.1045275830648
ALMACEN O ZONE WORLD MUSIC;CARRERA 24 No 13 - 41 SUR LOCAL 2;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;KR 24 13 41 SUR;4.589978734077301;-74.10207612107085
CABINAS TELEFONICAS VALVANERA;CARRERA 24 C No 17 16 SUR;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;KR 24 C 17 16 SUR;4.5879240545695;-74.1031649672361
VENTAS CALZADO SAMANTHA LEATHER;CALLE 17 SUR No 24C - 08;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;CL 17 SUR 24 C 08;4.59038458111866;-74.1052065767727
CAFE INTERNET INTERNET COM;CALLE 17 SUR No 11B - 29;ANTONIO NARI�O;CIUDAD JARDIN SUR;Usme;CL 17 SUR 11 B 29;4.58054141823514;-74.0954003252382
CAFE INTERNET ENTER COMUNICACIONES;CALLE 8 SUR No 32 - 05;ANTONIO NARI�O;LA FRAGUA;Perdomo;CL 8 SUR 32 05;4.599601071091078;-74.10867500832273
REPARACION AUTOMOTRIZ  HIDRAULICOS FERRARI;CALLE 63F No 28 - 11;BARRIOS UNIDOS;BENJAMIN HERRERA;Zona Neutra;CL 63 F 28 11;4.656041975689163;-74.07558067821725
CAFE INTERNET COMUNICACIONES JN;CARRERA 65 No 79C - 52;BARRIOS UNIDOS;SIMON BOLIVAR;Calle 80;KR 65 79 C 52;4.6817948312046935;-74.07808287681961
INTERNET  MARINA  TORRES PRUEBAS QA;CARRERA 65 No 79C - 20;BARRIOS UNIDOS;SIMON BOLIVAR;Calle 80;KR 65 79 C 20;4.681557545364003;-74.07823228804658
DROGUERIA REAL PORVENIR;CALLE 79 BIS No 64 - 06;BARRIOS UNIDOS;SIMON BOLIVAR;Calle 80;CL 79 BIS 64 06;4.6798953329639925;-74.07878613547943
PAPELERIA UNICOPIAS;CARRERA 14A No 70A - 83;BARRIOS UNIDOS;CONCEPCION NORTE;Zona Neutra;KR 14 A 70 A 83;4.658257908245451;-74.06306786466516
DROGUERIA UNIFAMILIAR;CARRERA 65 No 78A - 14;BARRIOS UNIDOS;SIMON BOLIVAR;Calle 80;KR 65 78 A 14;4.67959678769739;-74.0798195019996
MISCELANEA DE RODERO;CARRERA 52 No 68 - 08;BARRIOS UNIDOS;SAN FERNANDO;Engativa;KR 52 68 08;4.66559629052679;-74.0776003606298
REPUESTOS DE VEHICULOS AUTONEVAR;CARRERA 28 NO 67 - 09;BARRIOS UNIDOS;LA PAZ;Zona Neutra;KR 28 67 09;4.66056813164349;-74.0734762337035
PAPELERIA JUANCHITO;CALLE 74 No 51 - 56;BARRIOS UNIDOS;DOCE DE OCTUBRE;Calle 80;CL 74 51 56;4.670299082524675;-74.07371765198049
