CALLE 70 NO 4 - 63;CL 70 4 63
CALLE 69A NO 5 - 59 INTERIOR 1;CL 69 A 5 59
AEROPUERTO EL DORADO LOCAL 1330;
AVENIDA JIMENEZ NO 4 - 16 LOCAL 21 MEZZANINE;AV JIMENEZ 4 16
CARRERA 13 NO 93 - 71;KR 13 93 71
CARRERA 13 NO 83 - 66;KR 13 83 66
CALLE 69 A NO 5 - 79;CL 69 A 5 79
AVENIDA CALLE 39 NO 7  -  40 LOCAL 137;AC 39 7 40
CALLE 82 NO 12  -  21;CL 82 12 21
CALLE 84 NO 14 - 02;CL 84 14 02
CALLE 12 NO 7 - 32 PISO 4;CL 12 7 32
AVENIDA CALLE 116 NO 7 - 15 INTERIOR 2;AC 116 7 15
CALLE 116 NO 18 B - 40;CL 116 18 B 40
CARRERA 13 NO 85 - 75;KR 13 85 75
CARRERA 13 NO 85 - 24;KR 13 85 24
CENTRO COMERCIAL 'AVENIDA' CHILE CALLE 72 NO 10 -  34 LOCAL 403 B;CL 72 10 34
CALLE 69 A NO 5 - 75;CL 69 A 5 75
CARRERA 5 NO 71 - 75;KR 5 71 75
CALLE 116 NO 16 - 78 ;CL 116 16 78
CARRERA 12 A NO 83 - 30;KR 12 A 83 30
CALLE 70 NO 5 - 57;CL 70 5 57
CALLE 119 NO 6 - 24;CL 119 6 24
CALLE 119 B NO 6 - 28;CL 119 B 6 28
CALLE 119 NO 6 A - 17;CL 119 6 A 17
CALLE 93 B NO 11A - 84 LOCAL 101;CL 93 B 11 A 84
CARRERA 12 NO 83 - 17;KR 12 83 17
CARRERA 15 NO 87 - 98;KR 15 87 98
CALLE 83 12 - 26;CL 83 12 26
CALLE 83 NO 12 -26;CL 83 12
CALLE 93 A NO 11 A - 26 /30;CL 93 A 11 A 26
CARRERA 11 A NO 93B - 11;KR 11 A 93 B 11
CARRERA 4 A NO 27 - 27;KR 4 A 27 27
CARRERA 6A  117 -  02;KR 6 A 117 02
CARRERA 7 NO 13 - 41 INTERIOR 101;KR 7 13 41
CALLE 93 A NO 11 A - 31;CL 93 A 11 A 31
CARRERA 6 NO 117 - 35;KR 6 117 35
CALLE 29 BIS NO 6 - 12;CL 29 BIS 6 12
CARRERA 7 NO 19 - 48;KR 7 19 48
AVENIDA JIMENEZ NO  6 - 65;AV JIMENEZ 6 65
CALLE 84 BIS NO 13 - 43;CL 84 BIS 13 43
CARRERA 11 A NO 93 - 42;KR 11 A 93 42
CARRERA 13 NO 83 - 52;KR 13 83 52
CARRERA 13 NO 28 A - 31 PISO 3;KR 13 28 A 31
CARRERA 13 NO 28 A - 31 LOCAL 101;KR 13 28 A 31
CARRERA 9 NO 71 - 60 /64;KR 9 71 60
CALLE 119 B NO 6 - 01;CL 119 B 6 01
CENTRO COMERCIAL GRAN ESTACION AVENIDA CALLE 26 NO 62 - 47 LOCAL 3-36;AC 26 62 47
CARRERA 10 NO 26 - 55 /57 EDIFICIO BACHUE;KR 10 26 55
CALLE 118 NO 6A - 76;CL 118 6 A 76
CALLE 121 NO 6 - 11;CL 121 6 11
CALLE 118 NO 19 – 12;CL 118 19 12
CARRERA 13 A NO 86 A - 18;KR 13 A 86 A 18
CALLE 81 NO 13  -  05 LOCAL 414;CL 81 13 05
CENTRO COMERCIAL PLAZA DE LAS AMERICAS CARRERA 71D NO 6  -  94 SUR LOCAL 1092;KR 71 D 6 94 SUR
CARRERA 9 NO 73  –  33;KR 9 73 33
AVENIDA 19 NO 120 - 16;AV 19 120 16
CENTRO COMERCIAL SALITRE PLAZA CARRERA 68 B NO 24 - 39  LOCAL 324;KR 68 B 24 39
CARRERA 7 NO 32  -  84 LOCAL 210;KR 7 32 84
CARRERA 21 NO 100 - 23;KR 21 100 23
CENTRO COMERCIAL ANDINO CARRERA 11 NO 82 - 71 LOCAL 403;KR 11 82 71
CALLE 19 A NO 04 - 08 ESTE;CL 19 A 04 08 ESTE
CALLE 41 NO 7 - 29;CL 41 7 29
CENTRO COMERCIAL SALITRE PLAZA CARRERA 68 B NO 24 - 39 LOCAL 371;KR 68 B 24 39
CENTRO COMERCIAL SALITRE PLAZA CARRERA 68 B NO 24 - 39 LOCAL 355;KR 68 B 24 39
CALLE 119 B NO 6 A - 18;CL 119 B 6 A 18
CARRERA 6 A NO 119 B - 05;KR 6 A 119 B 05
CARRERA 13 NO 96 - 11;KR 13 96 11
CENTRO COMERCIAL SANTAFE CALLE 185 NO 45 - 03 LOCAL N3-063 ;CL 185 45 03
CALLE 26 NO 62 - 49 LOCAL 318;CL 26 62 49
CENTRO COMERCIAL SANTAFE CALLE 185 NO 45 - 03 LOCAL 381;CL 185 45 03
CENTRO COMERCIAL GRAN ESTACION AVENIDA CALLE 26 NO 62 - 47 LOCAL 314 - 315;AC 26 62 47
CENTRO COMERCIAL GRAN ESTACION AVENIDA CALLE 26 NO 62 - 47 LOCAL 350;AC 26 62 47
CENTRO COMERCIAL UNCIENTRO AVENIDA 15 NO 124 - 30  LOCAL  409;AV 15 124 30
CENTRO COMERCIAL CENTRO MAYOR  CALLE 38 A SUR NO 34 D - 51 LOCAL 3024 A;CL 38 A SUR 34 D 51
CENTRO COMERCIAL ISERRA 100 TRANSVERSAL 55 NO 98 A - 66 LOCAL 315;TR 55 98 A 66
CALLE 52 NO 24 - 12;CL 52 24 12
CENTRO COMERCIAL UNICENTRO AVENIDA 15 NO 124 - 30  LOCAL 2078;AV 15 124 30
CENTRO COMERCILA CALIMA AVENIDA CALLE 19 NO 28 - 80 LOCAL C-30;AC 19 28 80
CALLE 53 NO 26 - 60;CL 53 26 60
AVENIDA CARRERA 58 NO 127 - 59 LOCAL 318 - 319 - 320;AK 58 127 59
CENTRO COMERCIAL CENTRO MAYOR CALLE 38 A SUR NO 34 D - 51 LOCAL 2 -101 Y 2 - 102;CL 38 A SUR 34 D 51
CENTRO COMERCIAL GRAN ESTACION AVENIDA CALLE 26 NO 62 - 47 LOCAL  343;AC 26 62 47
CALLE 110 NO 9 A - 60 LOCAL 303;CL 110 9 A 60
CENTRO COMERCIAL SANTAFE CALLE 183 NO 45 - 03 LOCAL 3-102;CL 183 45 03
AVENIDA AMERICAS NO 39 A - 22;AV AMERICAS 39 A 22
CENTRO COMERCIAL GRAN ESTACION AVENIDA CALLE 26 NO 62 - 47 LOCAL 302;AC 26 62 47
CENTRO COMERCIAL SANTAFE CALLE 185 NO 45 - 03 LOCAL 392;CL 185 45 03
AVENIDA CARRERA 58 NO 127 - 59 LOCAL  2128/2129;AK 58 127 59
CENTRO COMERCIAL SANTAFE CALLE 183 NO 45 - 03 LOCAL 3-121;CL 183 45 03
CENTRO COMERCIAL UNICENTRO AVENIDA 15 NO 123 - 30 LOCAL 1-65;AV 15 123 30
CALLE 53 NO 25 - 30;CL 53 25 30
CENTRO COMERCIAL CALIMA AVENIDA CALLE 19 NO 28 - 10 LOCAL C27;AC 19 28 10
CENTRO COMERCIAL CENTRO MAYOR CALLE 38 A SUR NO 34 D - 51 LOCAL 2115 B-C;CL 38 A SUR 34 D 51
CENTRO COMERCIAL ANDINO CARRERA 11 NO 82 - 71 LOCAL 150;KR 11 82 71
CARRERA 24 NO 53  - 73 LOCAL 103;KR 24 53 73
AVENIDA CARRERA 58 NO 127 - 59 LOCAL 25 - 335;AK 58 127 59
AVENIDA CARRERA 9 NO 110 - 50 LOCAL 304/305;AK 9 110 50
CENTRO COMERCIAL CALIMA AVENIDA CALLE 19 NO 28 - 80 LOCAL C32;AC 19 28 80
CENTRO COMERCIAL GRAN ESTACION AVENIDA CALLE 26 NO  62 - 47 LOCAL 321;AC 26 62 47
CENTRO COMERCIAL CENTRO MAYOR CALLE 38 A SUR NO 34 D - 51 PLAZA DEL EQUILIBRISTA PISO 2;CL 38 A SUR 34 D 51
CENTRO COMERCIAL SANTAFE CALLE 185 NO 45 - 03 LOCAL 357;CL 185 45 03
CARRERA 15 NO 123  -  30 LOCAL 1089;KR 15 123 30
CALLE 10 NO 2 - 12;CL 10 2 12
CALLE 29 BIS NO 5 - 90;CL 29 BIS 5 90
CALLE 10 NO 2 - 99;CL 10 2 99
CARRERA 4 NO 12 C - 34;KR 4 12 C 34
CENTRO COMERCIAL CENTRO MAYOR CALLE 38 A SUR NO 34 D - 51 LOCAL 3024;CL 38 A SUR 34 D 51
CARRERA 18 NO 89 - 38;KR 18 89 38
CARRERA 1A NO 12 B  - 12;KR 1 A 12 B 12
CENTRO COMERCIAL UNICENTRO AVENIDA 15 NO 124  - 30 LOCAL 408;AV 15 124 30
CALLE 73 NO 10 - 83 LOCAL 409;CL 73 10 83
CENTRO COMERCIAL GRAN ESTACION AVENIDA CALLE 26 NO 62 - 47 LOCAL 1-48;AC 26 62 47
CARRERA 11 NO 98 - 46;KR 11 98 46
CALLE 116 NO 19 - 62;CL 116 19 62
CARRERA 7 NO 22 - 95;KR 7 22 95
CARRERA A 13 NO 28 - 23 LOCAL 1-A4;KR 13 28 23
CARRERA 7 NO 12B - 72;KR 7 12 B 72
CENTRO COMERCIAL 'AVENIDA' CHILE CALLE 72 NO 10 - 34 PLAZOLETA DE COMIDAS;CL 72 10 34
CALLE 85 NO 12 - 61;CL 85 12 61
CARRERA 7 NO 31 - 70;KR 7 31 70
CALLE 100 NO 17 - 10;CL 100 17 10
CENTRO COMERCIAL ATLANTIS PLAZA CALLE 81 NO 13 - 05 LOCAL 404;CL 81 13 05
CENTRO COMERCIAL ATLANTIS PLAZA CALLE 81 NO 13 - 05 LOCAL 407;CL 81 13 05
CENTRO COMERCIAL ANDINO CARRERA A 11 NO 82 - 11  LOCAL 419;KR 11 82 11
CALLE 26 NO 25 - 50 PISO 2;CL 26 25 50
CENTRO COMERCIAL 'AVENIDA' CHILE CALLE 72 NO 10 - 34 LOCAL 405;CL 72 10 34
CENTRO COMERCIAL PLAZA DE LAS AMERICAS CARRERA 71 D NO 6  - 94 LOCAL 29 - 02 ;KR 71 D 6 94
CENTRO COMERCIAL SALITRE PLAZA CARRERA 68 B NO 24 - 39 LOCAL 384 ;KR 68 B 24 39
CENTRO COMERCIAL SALITRE PLAZA CARRERA 68 B NO 24 - 39 LOCAL 377;KR 68 B 24 39
CENTRO COMERCIAL SALITRE PLAZA CARRERA 68 B NO 24 - 39 LOCAL 419 ;KR 68 B 24 39
CENTRO COMERCIAL GRAN ESTACION AVENIDA CALLE 26 NO 62 - 47 LOCAL 320A ;AC 26 62 47
CENTRO COMERCIAL UNICENTRO AVENIDA 15 NO 124 - 30  LOCAL 419 ;AV 15 124 30
CENTRO COMERCIAL TITAN AVENIDA CARRERA 72 NO 80 - 94;AK 72 80 94
CALLE 110 NO 9 B - 04 ;CL 110 9 B 04
CARRERA 4A NO 27 - 54;KR 4 A 27 54
CARRERA 14 NO 93  -  88;KR 14 93 88
NUEVO AEROPUERTO ELDORADO LOCAL 4 NIVEL HALL PUBLICO ;
CALLE 100 NO 11 - 79 LOCAL 8 Y 9;CL 100 11 79
CENTRO COMERCIAL PLAZA DE LAS AMERICAS CARRERA 71 D NO 6 - 94 SUR LOCAL 1120;KR 71 D 6 94 SUR
CALLE 24 A NO 69 C - 52;CL 24 A 69 C 52
AUTOPISTA SUR NO 38 A - 07 LOCAL 113;
CALLE 52 NO 23 - 06 /10;CL 52 23 06
CENTRO COMERCIAL GRAN ESTACION AVENIDA CALLE 26 NO  62 - 47  LOCAL 319-320 ESFERA;AC 26 62 47
CENTRO COMERCIAL SANTAFE CALLE 185 NO 45 03 LOCAL 3 - 11;CL 185 45 03
CALLE 114 NO 6 A - 92 LOCAL 108;CL 114 6 A 92
CARRERA 11 NO 66 - 75;KR 11 66 75
TRANSVERSAL 55 NO 98 A - 66 LOCAL 318;TR 55 98 A 66
CENTRO COMERCIAL PLAZA DE LAS AMERICAS CARRERA 71 D NO 6 - 94 SUR LOCAL 2913;KR 71 D 6 94 SUR
CENTRO COMERCIAL SANTAFE CALLE 185 NO 45 - 03 LC 395;CL 185 45 03
CARRERA 20 NO 116 - 14;KR 20 116 14
CALLE 116 NO 16 -  89;CL 116 16 89
AVENIDA 15 NO 123 - 30 LOCAL 2 142;AV 15 123 30
CENTRO COMERCIAL UNICENTRO AVENIDA 15 NO 124 - 30 LOCAL 1 - 12;AV 15 124 30
CALLE 26 NO 106 - 28 PUENTE AEREO ;CL 26 106 28
CENTRO COMERCIAL HACIENDA SANTA BARBARA CARRERA 7 NO 115 - 72 LOCAL E-205;KR 7 115 72
CENTRO COMERCIAL SANTAFE CALLE 185 NO 45 - 03 LOCAL 3N-125;CL 185 45 03
CALLE 85 NO 13 -  20;CL 85 13 20
CENTRO COMERCIAL CENTRO MAYOR CALLE 38 A SUR NO 34 D - 51 LOCAL  2114;CL 38 A SUR 34 D 51
CENTRO COMERCIAL PLAZA DE LAS AMERICAS CARRERA 71 D NO 6 - 94 SUR LOCAL 2910;KR 71 D 6 94 SUR
CENTRO COMERCIAL GRAN ESTACION AVENIDA CALLE 26 NO 62 - 47 LOCAL 351;AC 26 62 47
CENTRO COMERCIAL UNICENTRO AVENIDA 15 NO 124 - 30 LOCAL 4-10;AV 15 124 30
CALLE 82 NO 13 - 15;CL 82 13 15
CALLE 119 B NO 5 - 86;CL 119 B 5 86
CALLE 70 A NO 10 A - 18;CL 70 A 10 A 18
TRANSVERSAL 23 NO 97 - 73;TR 23 97 73
CENTRO COMERCIAL CALIMA CALLE 19 NO 28 - 80 LOCAL R-7;CL 19 28 80
CENTRO COMERCIAL UNICENTRO AVENIDA 15 NO 124 - 30 LOCAL 418;AV 15 124 30
CENTRO COMERCIAL CALIMA CALLE 19 NO 28 - 80 LOCAL C-31;CL 19 28 80
CENTRO COMERCIAL GRAN ESTACION AVENIDA CALLE 26 NO 62 - 47 LOCAL 304;AC 26 62 47
CARRERA 7 NO 32 - 70 LOCAL 419;KR 7 32 70
CENTRO COMERCIAL HACIENDA SANTA BARBARA CARRERA 7 NO 115 - 60 ;KR 7 115 60
CENTRO COMERCIAL SALITRE PLAZA CARRERA 68 B NO 24 - 39 LOCAL 391 ;KR 68 B 24 39
CARRERA 5 NO 69 - 15;KR 5 69 15
CARRERA 9 NO 71 - 31 /35;KR 9 71 31
CALLE 93 B NO 13 - 43;CL 93 B 13 43
CALLE 53 NO 25 - 53;CL 53 25 53
CENTRO COMERCIAL CENTRO MAYOR CALLE 38 A SUR NO 34 D - 51 LOCAL 114;CL 38 A SUR 34 D 51
CALLE 47 B SUR NO 24 B - 33;CL 47 B SUR 24 B 33
CENTRO COMERCIAL PLAZA DE LAS AMERICAS CARRERA 71 D NO 6  - 94 SUR LOCAL 2525;KR 71 D 6 94 SUR
TRANSVERSAL 35 NO 38 A - 20 SUR  LOCAL 2-122;TR 35 38 A 20 SUR
CENTRO COMERCIAL CALIMA AVENIDA CALLE 19 NO 28 - 10 LOCAL 28;AC 19 28 10
CENTRO COMERCIAL CALIMA AVENIDA CALLE 19 NO 28 - 80 LOCAL C-29;AC 19 28 80
CALLE 26 NO 51 A - 15 LOCAL 322;CL 26 51 A 15
CENTRO COMERCIAL GRAN ESTACION CALLE 26 NO 51  A - 15 LOCAL 322 ;CL 26 51 A 15
DIAGONAL 22B NO 63 - 30 LOCAL 341;DG 22 B 63 30
CENTRO COMERCIAL UNICENTRO AVENIDA 15 NO 124 - 30 LOCAL 1-060;AV 15 124 30
DIAGONAL 70 A NO 4 - 99;DG 70 A 4 99
CARRERA 11 A NO 94 - 45;KR 11 A 94 45
CENTRO COMERCIAL CENTRO MAYOR CALLE 38 A SUR NO 34 D - 50 LOCAL 316;CL 38 A SUR 34 D 50
CENTRO COMERCIAL SANTAFE AUTOPISTA NORTE CALLE 185 NO 45 - 03 LOCAL 366 ;CL 185 45 03
CENTRO COMERCIAL CALIMA AVENIDA CALLE 19 NO 28 - 80 LOCAL R 11 ;AC 19 28 80
CALLE 93 NO 12 - 11 LOCAL 11;CL 93 12 11
CENTRO COMERCIAL CENTRO MAYOR CALLE 38 A SUR NO 34 D - 50 LOCAL 2107 ;CL 38 A SUR 34 D 50
CENTRO COMERCIAL ISERRA 100 TRANSVERSAL 55 NO 98 A - 96 LOCAL 324 - 325 ;TR 55 98 A 96
