48;14631;Restaurante Wok;Carrera 13  No 82 - 74;622 59 80 - ;Chapinero;www.wok.com.co;KR 13 82 74;4.66746536890273;-74.0545637451921
49;14632;Restaurante Wok;Avenida 19  No 118 - 75;213 88 54 - ;Usaquen;www.wok.com.co;AV 19 118 75;4.70020971138676;-74.0498347156527
50;14633;Restaurante Wok;Calle 93B No 12 - 28;236 49 39 - ;Chapinero;www.wok.com.co;CL 93 B 12 28;4.677504832417166;-74.04834002395368
51;14636;La Biferia;Calle 69 No 5 - 61;345 61 90 - 320 344 34 25;Chapinero;labiferia.squarespace.com;CL 69 5 61;4.65117929136493;-74.0561416033105
52;14643;Restaurante La Brasserie;Carrera 13 No 85 - 35;257 64 02 - 618 45 77;Chapinero;NR;KR 13 85 35;4.66944082246876;-74.0536200625282
53;14644;Restaurante Patria;Calle 83 No 12A - 11;236 98 54 - 621 06 82;Chapinero;NR;CL 83 12 A 11;4.667391194954562;-74.05428319105258
54;14645;Restaurante Dilucca;Carrera 13 No 85 - 32;236 73 01 - 257 42 69;Chapinero;NR;KR 13 85 32;4.669481248192435;-74.0533271627641
55;14646;Restaurante Niko Cafe;Carrera 13 No 83 - 48;610 80 90 - 610 81 02;Chapinero;NR;KR 13 83 48;4.66805969059623;-74.0542304246021
56;14647;Restaurante Museo del Oro;Calle 16 No 5 - 41;282 92 05 - 334 71 28;Santafe;NR;CL 16 5 41;4.60191393574091;-74.0717574389091
58;14650;La Fragata Restaurante Giratorio;Calle 100 No 8 A - 55 Piso 12;218 44 56 - ;Chapinero;www.lafragata.com;CL 100 8 A 55;4.6811721589181;-74.0412271476979
59;14651;Fish Market La Fragata Zona T;Carrera 13 No 83 - 18;691 24 19 - 257 97 43;Chapinero;www.lafragata.com;KR 13 83 18;4.667828972520734;-74.05423637085298
60;14660;Apolos Men;Calle 85 No 11 - 18;257 54 43 - 311 261 55 07;Chapinero;www.apolosmen.com.co;CL 85 11 18;4.66800774067971;-74.0515778134937
