64;390002;Centro Crecer Lourdes;KR 2 4 10;KR 2 4 10;VAL DIR;4.44543407606164;-74.1560043598676;VAL COORD
65;890008;Centro Crecer Kennedy;KR 74 42 G 52 SUR;KR 74 42 G 52 SUR;VAL DIR;4.609017653272149;-74.15819162667877;VAL COORD
66;1296001;Casa de la Juventud Barrios Unidos;KR 55 70 A 33;KR 55 70 A 33;VAL DIR;4.668644000103748;-74.07794715488997;VAL COORD
67;1496002;Casa de la Juventud Martires (Cacma);CL 24 27 A 31;CL 24 27 A 31;VAL DIR;4.622483128393413;-74.08125202354495;VAL COORD
68;1596003;Casa de la Juventud Juvenil Restrepo;KR 20 19 26 SUR;KR 20 19 26 SUR;VAL DIR;4.58503740118561;-74.1031801110785;VAL COORD
69;996004;Casa de la Juventud Fontibon - el Pedregal;KR 112 B 20 C 29;KR 112 B 20 C 29;VAL DIR;4.684492320455231;-74.14908527684902;VAL COORD
70;465001;Centro de Atenci�n Integral a la Diversidad Sexual M�rtires;KR 14 21 05;KR 14 21 05;VAL DIR;4.6102774579956;-74.0756234526775;VAL COORD
71;1365002;CAIDS Sebastian Romero;TV 17 A BIS 36 74;TV 17 A BIS 36 74;VAL DIR;4.625912613543613;-74.07229462189291;VAL COORD
72;520005;Centro de Desarrollo Comunitario Julio Cesar Sanchez;AC 91 SUR 3 C 34 ESTE;AC 91 SUR 3 C 34 ESTE;VAL DIR;4.50140006757026;-74.1096894008225;VAL COORD
73;1820011;Centro de Desarrollo Comunitario Samore;CL 41 A SUR 31 46;CL 41 A SUR 31 46;VAL DIR;4.587025721729936;-74.1253074102147;VAL COORD
74;1620014;Centro de Desarrollo Comunitario Asuncion;KR 32 A 1 H 6;KR 32 A 1 H 6;VAL DIR;4.60345956709834;-74.1056800452443;VAL COORD
75;120001;Centro de Desarrollo Comunitario Simon Bolivar;CL 165 7 52;CL 165 7 52;VAL DIR;4.742214737105801;-74.02406160667822;VAL COORD
76;320002;Centro de Desarrollo Comunitario Lourdes;KR 2 3 00;KR 2 3 00;VAL DIR;4.58789412484865;-74.0745183392255;VAL COORD
77;620007;Centro de Desarrollo Comunitario Pablo De Tarso;DG 47 A SUR 53 92;DG 47 A SUR 53 92;VAL DIR;4.59309191910064;-74.1411310254152;VAL COORD
78;702008;Centro de Desarrollo Comunitario El Porvenir;KR 100 52 24 SUR;KR 100 52 24 SUR;VAL DIR;4.642768292176268;-74.18862788984704;VAL COORD
79;920009;Centro de Desarrollo Comunitario La Giralda;KR 104 B 22 J 15;KR 104 B 22 J 15;VAL DIR;4.6819765480389215;-74.14173386116015;VAL COORD
80;1820012;Centro de Desarrollo Comunitario Colinas;KR 15 C 31 G 40 SUR;KR 15 C 31 G 40 SUR;VAL DIR;4.575068777260865;-74.11141183435544;VAL COORD
81;820016;Centro de Desarrollo Comunitario Lago Timiza;KR 74 42 G 52 SUR;KR 74 42 G 52 SUR;VAL DIR;4.609017653272149;-74.15819162667877;VAL COORD
82;820017;Centro de Desarrollo Comunitario Bellavista;CL 38 SUR 94 C 29;CL 38 SUR 94 C 29;VAL DIR;4.64577340603798;-74.1713094113848;VAL COORD
83;820018;Centro de Desarrollo Comunitario Kennedy;AK 80 43 43 SUR;AK 80 43 43 SUR;VAL DIR;4.62093443971396;-74.1664300191861;VAL COORD
84;1614018;Cundinamarca;CL 19 A 34 94;CL 19 A 34 94;VAL DIR;4.62263596580815;-74.0915681253697;VAL COORD
85;1003003;Discapacidad Cognitiva - Apoyos Extensos;CL 71 A 95 31;CL 71 A 95 31;VAL DIR;4.698753561227453;-74.1142344083263;VAL COORD
86;1003006;Discapacidad Cognitiva Leve y Moderada;KR 69 F 65 83;KR 69 F 65 83;VAL DIR;4.67596992024312;-74.094150121386;VAL COORD
87;403001;Discapacidad Cognitiva - Apoyos Generalizados;AC 11 SUR 1 B 10 ESTE;AC 11 SUR 1 B 10 ESTE;VAL DIR;4.574827944014608;-74.08035480837768;VAL COORD
88;903002;Discapacidad Cognitiva - Apoyos Intermitentes o Limitados;CL 22 G 96 I 42;CL 22 G 96 I 42;VAL DIR;4.675438450917093;-74.13794304702516;VAL COORD
89;1103004;Discapacidad Fidica y Discapacidad Cognitiva -Apoyos Extensos;KR 90 149 73;KR 90 149 73;VAL DIR;4.74493953392371;-74.0828632714784;VAL COORD
90;903005;Discapacidad Cognitiva - Apoyos Intermitentes o Limitados;CL 23 H BIS 104 B 79;CL 23 H BIS 104 B 79;VAL DIR;4.684927608894039;-74.13944797436888;VAL COORD
91;1303007;Discapacidad Cognitiva Leve y Moderada;KR 26 61 F 19;KR 26 61 F 19;VAL DIR;4.650012870575708;-74.0738188736659;VAL COORD
92;1503008;Discapacidad Cognitiva Leve y Moderada;KR 12 B 7 6 SUR;KR 12 B 7 6 SUR;VAL DIR;4.586497532848917;-74.09118563334287;VAL COORD
93;803009;Discapacidad Cognitiva Leve y Moderada;TV 78 H 45 59 SUR;TV 78 H 45 59 SUR;VAL DIR;4.614822260982567;-74.16529771144305;VAL COORD
94;1803010;Discapacidad M�ltiple;CL 24 SUR 24 G 43;CL 24 SUR 24 G 43;VAL DIR;4.58641676340827;-74.1084226051438;VAL COORD
95;111001;Usaquen;CL 165 7 38;CL 165 7 38;VAL DIR;4.741572809891373;-74.02313402617061;VAL COORD
96;1311013;Teusaquillo;AK 19 32 A 20;AK 19 32 A 20;VAL DIR;4.621469660742601;-74.07391103907662;VAL COORD
97;211002;Chapinero;CL 50 A 13 58;CL 50 A 13 58;VAL DIR;4.6379802704578905;-74.0660269004545;VAL COORD
98;311003;Santafe - Candelaria;KR 2 4 10;KR 2 4 10;VAL DIR;4.44543407606164;-74.1560043598676;VAL COORD
99;511005;Usme - Sumapaz;AC 91 SUR 3 C 34 ESTE;AC 91 SUR 3 C 34 ESTE;VAL DIR;4.50140006757026;-74.1096894008225;VAL COORD
100;611006;Tunjuelito;DG 47 A SUR 53 92;DG 47 A SUR 53 92;VAL DIR;4.59309191910064;-74.1411310254152;VAL COORD
101;711007;Bosa;CL 73 SUR 81 B 10;CL 73 SUR 81 B 10;VAL DIR;4.611146571433985;-74.19704270587242;VAL COORD
102;811008;Kennedy;CL 38 SUR 94 C 29;CL 38 SUR 94 C 29;VAL DIR;4.64577340603798;-74.1713094113848;VAL COORD
103;911009;Fontibon;KR 104 B 22 J 15;KR 104 B 22 J 15;VAL DIR;4.6819765480389215;-74.14173386116015;VAL COORD
104;1111011;Suba;KR 91 146 C 15;KR 91 146 C 15;VAL DIR;4.74092069763429;-74.0842818701484;VAL COORD
105;1211012;Barrios Unidos;KR 58 67 D 31;KR 58 67 D 31;VAL DIR;4.66986581547793;-74.0810575015435;VAL COORD
106;1811014;Rafael Uribe Uribe;KR 15 C 31 G 40 SUR;KR 15 C 31 G 40 SUR;VAL DIR;4.575068777260865;-74.11141183435544;VAL COORD
107;1411015;Martires;DG 22 B BIS 20 51;DG 22 B BIS 20 51;VAL DIR;4.61730535163344;-74.0807010565543;VAL COORD
108;1611016;Puente Aranda - Antonio Nari�o;KR 33 4 A 23;KR 33 4 A 23;VAL DIR;4.607547863526558;-74.10354002159546;VAL COORD
109;297001;Juan XXIII;CL 65 A 1 60;CL 65 A 1 60;VAL DIR;4.646696367371051;-74.05441099552102;VAL COORD
