1;Hamburguesas el Corral Aeropuerto;Aeropuerto Eldorado, Tercel Nivel  Local 101;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
3;Oma Barra de Cafe Aeropuerto Muelle Nacional;Aeropuerto Nuevo Dorado Muelle Nacional Sur Local 91;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
4;MC Donalds Aeropuerto;Aeropuerto El Dorado Local 2346 - 2347;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
5;Kokoriko Puente Aereo;Puente Aereo  Local  L-2 209 Aeropuerto;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
66;Restaurante Casa San Isidro;Paseo Bolivar No 21 - 48 Este Estacion Funicular;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
67;Restaurante Casa Santa Clara;Paseo Bolivar No 21 - 48 Este Estacion Funicular;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
68;Cafe De Monserrate;Cerro de Monserrate –Estacion del Funicular;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
108;El Portico;Kilometro 19 Autopista Norte;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
131;Frisby G49;Aeropuerto El Dorado Local 1330;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
268;Crepes & Waffles;Nuevo Aeropuerto Eldorado Local 4 Nivel Hall Publico ;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
275;Hamburguesas el Corral Exito Villa Mayor;Autopista Sur No 38 A - 07 Local 113;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
344;Kokorico Natural Rotisserie;Aeropuerto El Dorado T 1 Hall Publico P 3 FIB 3 Local T 1 008;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
389;Presto Nuevo Dorado;Aeropuerto Eldorado, T2 Zona Internacional;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
64;Oliveto Pizza Gourmet;Carrera 6A No 118  -  57;KR 6 A 118 57;VAL DIR;4.695463448067765;-74.0312966972336;VAL COORD
63;Oliveto Pizza Gourmet;Carrera 5 No 70 - 26;KR 5 70 26;VAL DIR;4.652063411250476;-74.05476557910185;VAL COORD
65;El Olivar Restaurante;Carrera 6 No 10 - 40;KR 6 10 40;VAL DIR;4.59709635241529;-74.0747561059421;VAL COORD
69;Hard Rock Cafe;Centro Comercial Atlantis Calle 81 No 13 - 05  Local 011;CL 81 13 05;VAL DIR;4.666068450990536;-74.05577266070479;VAL COORD
70;MC Donalds Parque 93;Carrera 12 No 93  - 86;KR 12 93 86;VAL DIR;4.676108676684855;-74.0484387517325;VAL COORD
71;MC Donalds Andino;Carrera 11 No 82 - 02 Local 355;KR 11 82 02;VAL DIR;4.66559173027952;-74.0529189329731;VAL COORD
73;MC Donalds Pepe Sierra;Calle 116 No 18B  - 43;CL 116 18 B 43;VAL DIR;4.69831524475385;-74.0490414650202;VAL COORD
72;MC Donalds Plaza de Las Americas;Centro Comercial Plaza de Las Americas Carrera 71 D No 6 - 94 Sur Local 1500;KR 71 D 6 94 SUR;VAL DIR;4.618832129117629;-74.13531740938949;VAL COORD
75;MC Donalds Atlantis;Centro Comercial Atlantis Calle 81 No 13 - 05 Local 311;CL 81 13 05;VAL DIR;4.666068450990536;-74.05577266070479;VAL COORD
74;MC Donalds Avenida Jimenez;Avenida Jimenez No 7 - 25;AV JIMENEZ 7 25;VAL DIR;4.60140428965104;-74.0736522752908;VAL COORD
76;MC Donalds Salitre;Centro Comercial Salitre Plaza Carrera 68 B No 24  - 39 Local 3-102/3-104;KR 68 B 24 39;VAL DIR;4.653382271318041;-74.10992482267676;VAL COORD
77;MC Donalds Ciudad Salitre;Carrera 68B No 24 - 30;KR 68 B 24 30;VAL DIR;4.652064323278294;-74.10893205673587;VAL COORD
