IDENTIFICADOR;NOMBRE;DIRECCION;CATEGORIA;TELEFONO;BARRIO_OFICIAL;POLIGONO_BARRIAL;CODIGO LOCALIDAD;LOCALIDAD;UPZ;CODIGO UPZ
1133051;Celestin Freinet Rincon;CL 128 B BIS 92 35;Jardin Infantil Cupo Cofinanciado C.C.;6842573;El Rincon;El Ruby;11;Suba;El Rincón;28
1133052;Funandes Verona;KR 144 A 132 98;Jardin Infantil Cupo Cofinanciado C.C.;6930974;Lisboa;Villa de las Flores;11;Suba;Tibabuyes;71
1133053;Dulce Maria;TV 127 C 139 B 48;Jardin Infantil Cupo Cofinanciado C.C.;6889468;Sabana De Tibabuyes;Sabana de Tibabuyes;11;Suba;Tibabuyes;71
1133054;Aeiotu;KR 98 156 C 10;Jardin Infantil Cupo Cofinanciado C.C.;5387671;Salitre Suba;Orquídeas II Sector;11;Suba;Suba;27
1133055;Santa Cecilia - Tibabuyes;Cl 138 159 07;Jardin Infantil Cupo Cofinanciado C.C.;4935346;Santa Cecilia;Santa Cecilia II;11;Suba;Tibabuyes;71
1133056;Rincon;CL 135A 91A 30;Jardin Infantil Cupo Cofinanciado C.C.;;Villa Elisa;Villa Elisa;11;Suba;El Rincón;28
1133057;Villa Elisa - Fer;CL 134 A   91 77;Jardin Infantil Cupo Cofinanciado C.C.;6804532;Villa Elisa;Villa Elisa;11;Suba;El Rincón;28
1133058;Villamaria - Funandes;CL 138 A 113  78;Jardin Infantil Cupo Cofinanciado C.C.;4935346;Villa Maria;Villa Maria;11;Suba;El Rincón;28
1133059;Tuna Alta Otero;KR 90 147 C 32;Jardin Infantil Cupo Cofinanciado C.C.;;Suba Urbano;S.C. Suba Urbano;11;Suba;Suba;27
1233060;Mil Sonrisas;KR 29 A 74 42;Jardin Infantil Cupo Cofinanciado C.C.;2507648;Once De Noviembre;11 de Noviembre;12;Barrios Unidos;Los Alcázares;98
1833062;Marruecos Bambi;TV 5 Q 48 J 24 SUR;Jardin Infantil Cupo Cofinanciado C.C.;2797150;Callejon Santa Barbara;Callej¾n de Santa Bßrbara Sur;18;Rafael Uribe;Marruecos;54
1433063;Filadelfia;CL 2 C 29 57;Jardin Infantil Cupo Cofinanciado C.C.;5602890;Santa Isabel;Santa Isabel;14;Los Mártires;Santa Isabel;37
1533064;Ciudad Jardin San Jose;CL 17 SUR 10 21;Jardin Infantil Cupo Cofinanciado C.C.;3727729;Ciudad Jardin Sur;Ciudad Jardín del Sur;15;Antonio Nariño;Ciudad Jardín;35
1733065;Asoben;CL 9 9 60;Jardin Infantil Cupo Cofinanciado C.C.;3419324;Centro Administrativo;Centro Administrativo;17;Candelaria;La Candelaria;94
1933066;Alegria de Vivir;KR 18 I 81 C 29 SUR;Jardin Infantil Cupo Cofinanciado C.C.;7911570;Arabia;El Tesorito;19;Ciudad Bolívar;El Tesoro;68
1933068;Semillitas de Amor;DG 75 D SUR 75 L 7;Jardin Infantil Cupo Cofinanciado C.C.;5975191;Santa Viviana;Santa Viviana;19;Ciudad Bolívar;Ismael Perdomo;69
1933069;Caminos de La Vida;KR 76 C BIS 62 F 42 SUR;Jardin Infantil Cupo Cofinanciado C.C.;7793204;Los Tres Reyes;Casa Grande;19;Ciudad Bolívar;Ismael Perdomo;69
1933070;Mi Pequeño Refugio;KR 18 B 73 A 28 SUR;Jardin Infantil Cupo Cofinanciado C.C.;7914189;Estrella Del Sur;Estrella del Sur;19;Ciudad Bolívar;Lucero;67
1933073;La Casita de Juan Jose;CL 62 B SUR 19 B 24;Jardin Infantil Cupo Cofinanciado C.C.;2696161;Las Acacias;Acacias Sur;19;Ciudad Bolívar;San Francisco;66
1933074;Caracoli;CL 76 A SUR 74 B 5;Jardin Infantil Cupo Cofinanciado C.C.;7316351;Caracoli;Caracoli;19;Ciudad Bolívar;Ismael Perdomo;69
1933075;Waldorf;TV 73 H BIS 75 B 46 SUR;Jardin Infantil Cupo Cofinanciado C.C.;7189019;Sierra Morena;Sierra Morena;19;Ciudad Bolívar;Ismael Perdomo;69
1933076;Amores y Colores;KR 72 62 G 71 SUR;Jardin Infantil Cupo Cofinanciado C.C.;7828341;Perdomo Alto;Ismael Perdomo;19;Ciudad Bolívar;Ismael Perdomo;69
1933078;Castillo San Lucas-Maria Cano;KR 74 I 62 3 SUR;Jardin Infantil Cupo Cofinanciado C.C.;7829464;Maria Cano;Maria Cano;19;Ciudad Bolívar;Ismael Perdomo;69
1933079;Manantial;CL 73 C SUR 48 A 20;Jardin Infantil Cupo Cofinanciado C.C.;7522986;Las Brisas;JerusalÚn las Brisas;19;Ciudad Bolívar;Jerusalem;70
1933080;Candelaria la Nueva - Mis pequeños Genios;Calle 64 C SUR # 27 - 31;Jardin Infantil Cupo Cofinanciado C.C.;7152120;Candelaria La Nueva;Candelaria la Nueva;19;Ciudad Bolívar;San Francisco;66
1933081;Aeiotu - Juan Bosco Obrero La Estrella;KR 18 G 74 A 59 SUR;Jardin Infantil Cupo Cofinanciado C.C.;7619141;Naciones Unidas;Estrella de Maria;19;Ciudad Bolívar;Lucero;67
733083;Sembrando Camino;CL 53 A SUR 89 B 16;Jardin Infantil Cupo Cofinanciado C.C.;5743610;Parcela El Porvenir;Porvenir III;7;Bosa;El Porvenir;86
933084;Jordan;CL 20 C 107 53;Jardin Infantil Cupo Cofinanciado C.C.;4041740;Belen Fontibon;S.C. BelÚn Fontib¾n;9;Fontibón;Fontibón;75
833085;Fundangel - Villamil;CL 42 C SUR 81 B 34;Jardin Infantil Cupo Cofinanciado C.C.;4039162;Chucua De La Vaca I;Villa_Nelly;8;Kennedy;Corabastos;80
1833086;Quiroga Central;CL 34 SUR  22  10;Jardin Infantil Cupo Cofinanciado C.C.;2789083;Quiroga;S.C. Quiroga;18;Rafael Uribe;Quiroga;39
1833087;Pincel de Alegria;KR 9 39 F 14 SUR;Jardin Infantil Cupo Cofinanciado C.C.;5676432;Cerros De Oriente;Urb. Madrid;18;Rafael Uribe;Marruecos;54
1133088;Las Flores;KR 108 A 140 48;Jardin Infantil Cupo Cofinanciado C.C.;7552017;Puerta Del Sol;Las Flores_;11;Suba;El Rincón;28
633089;Venecia;KR 59 B 51 A 39 SUR;Jardin Infantil Cupo Cofinanciado C.C.;8069916;Nuevo Muzu;Nuevo Muzu II Sector 2a Etapa;6;Tunjuelito;Venecia;42
133090;Show Kids - Santa Barbara;CL 126 7 B 50;Jardin Infantil Cupo Cofinanciado C.C.;7522986;Santa Barbara Oriental;Santa Bßrbara Oriental;1;Usaquén;Usaquen;14
533091;Sueños del Mañana - Comuneros;CL 102 A SUR 1 A 55 ESTE;Jardin Infantil Cupo Cofinanciado C.C.;8107201;Usminia;Usminia;5;Usme;Comuneros;58
1133092;Teresita - Aures;CL 132 D 100 A 65;Jardin Infantil Cupo Cofinanciado C.C.;;POTRERILLO;Urb. Potrerillos de Suba;11;Suba;El Rincón;28
1633093;Galan ASODIF;KR 55 2 B 30;Jardin Infantil Cupo Cofinanciado C.C.;SIN INFORMACION;Galan;Galßn;16;Puente Aranda;San Rafael;43
933094;La Flauta Magica;CL 19 106 34;Jardin Infantil Cupo Cofinanciado C.C.;SIN INFORMACION;Belen Fontibon;S.C. BelÚn Fontib¾n;9;Fontibón;Fontibón;75
1933096;Maria Cano Esperanza Viva;CL 62 H SUR 74 H 22;Jardin Infantil Cupo Cofinanciado C.C.;4618739-3132162120;Rincon de Galicia;Rincón de Galicia;19;Ciudad Bolívar;Ismael Perdomo;69
731001;La Esperanza;KR 80 J 76 38 SUR;Jardín Infantil J.S.;7195177;San Diego-Bosa;Urb. La Esperanza;7;Bosa;Bosa Central;85
1931002;Buenavista;CL 78 SUR 17 F 80;Jardín Infantil J.S.;7913956;Quiba I;Urb. Buenavista;19;Ciudad Bolívar;El Tesoro;68
131004;El Nogal;KR 11 183 90;Jardín Infantil J.S.;6682598;Verbenal San Antonio;San Antonio Norte II Sector;1;Usaquén;Verbenal;9
331005;La Alameda;KR 13 20 91;Jardín Infantil J.S.;2832791;La Alameda;La Alameda;3;Santa Fe;Las Nieves;93
431006;Nueva Roma;AK 4 ESTE 50 80 SUR;Jardín Infantil J.S.;3638546;Villabel;Urb. Nueva Roma Oriental Dardanelos;4;San Cristóbal;Los Libertadores;51
431007;San Jeronimo del Yuste;Diagonal 13 B SUR # 19 A - 2 ESTE;Jardín Infantil J.S.;3373176;Tibaque Rural;S.C Tibaque;4;San Cristóbal;;0
431008;San Vicente;CL 34 SUR 7 10 ESTE;Jardín Infantil J.S.;2068554;Santa Ines Sur;San Vicente (Predio);4;San Cristóbal;San Blas;32
531009;Chuniza;AC 91 SUR 3 C 34 ESTE;Jardín Infantil J.S.;7731349;Charala;Chuniza;5;Usme;Comuneros;58
531012;Bolonia;CL 81 A SUR 6 40 ESTE;Jardín Infantil J.S.;7611922;La Esperanza Sur;Santa Marta;5;Usme;Gran Yomasa;57
531013;San Cayetano;CL 74 A SUR 16 60 ESTE;Jardín Infantil J.S.;3653100;Ciudad Londres Rural;_San Cayetano_;5;Usme;;0
531014;Nebraska;KR 1 C ESTE 66 A 70 SUR;Jardín Infantil J.S.;7646292;La Fiscala;Nebraska;5;Usme;Danubio;56
531015;El Cipres;CL 114 A SUR 6 G 54 ESTE;Jardín Infantil J.S.;7671285;Puerta Al Llano De Usme;El Uval II Sector;5;Usme;Alfonso López;59
731016;El Porvenir;CL 49 D SUR 92 A 34;Jardín Infantil J.S.;7279187;Parcela El Porvenir;S.C. Osorio Diez;7;Bosa;El Porvenir;86
831018;Tintalito Social;AC 43 SUR 88 A 30;Jardín Infantil J.S.;4943684;Dindalito;Piamonte Occidental;8;Kennedy;Patio Bonito;82
1131019;Piedra Verde Celestin Freinet;CL 137 129 35;Jardín Infantil J.S.;6933649;Toscana;Urb. Piedra Verde;11;Suba;Tibabuyes;71
1831020;Palermo Sur;CL 49 D SUR 2 B 50;Jardín Infantil J.S.;7677492;Palermo Sur;Palermo Sur;18;Rafael Uribe;Diana Turbay;55
1931021;Los Robles;CL 66 C SUR 18 Y 3;Jardín Infantil J.S.;7182297;Compartir;Las Delicias del_Sur;19;Ciudad Bolívar;Lucero;67
1931022;Paraiso;KR 27 L 71 G 14 SUR;Jardín Infantil J.S.;7903238;Paraiso Quiba;_El Paraíso;19;Ciudad Bolívar;Lucero;67
131003;Servita;CL 165 7 38;Jardín Infantil J.S.;6698211;Santa Teresa;Santa Teresa;1;Usaquén;La Uribe;10
831023;Bellavista;CL 38 SUR 94 C 29;Jardín Infantil J.S.;4527787;Galan;Ciudad Galßn;8;Kennedy;Patio Bonito;82
437001;Lourdes Huototo - Makade Tinikana;KR 6 15 51 SUR;Jardín Infantil SDIS Indígena.;2723075;Sociego;El Sosiego;4;San Cristóbal;Sosiego;33
537002;Ambika Pijao;DG 92 H SUR 4 C 29 ESTE;Jardín Infantil SDIS Indígena.;3118062018;Comuneros;Bellavista Alta;5;Usme;Comuneros;58
737003;Uba Rhua - Espiritu de la Semilla;TV 87 B 79 40 SUR;Jardín Infantil SDIS Indígena.;3107561422;Remanso Urbano;S.C. El Remanso;7;Bosa;Tintal Sur;87
1037004;Wawakunapak Yachahuna Wasi (Casa de Enseñanza para Niños);KR 69 I 69 A 41;Jardín Infantil SDIS Indígena.;3125593154;La Estrada;La Estrada;10;Engativá;Las Ferias;26
1137005;Gue Atyqiib (Los Pinos);CL 144 139 55;Jardín Infantil SDIS Indígena.;6970936;San Carlos De Suba;S.C. San Carlos de Suba;11;Suba;Tibabuyes;71
437006;Wawitakunapa Wasi (La Casita de Los Niños);CL 18 SUR 9 40;Jardín Infantil SDIS Indígena.;2724260;SOCIEGO;El Sosiego;4;San Cristóbal;Sosiego;33
130001;Granito de Mostaza;KR 11 187 A 15;Jardín Infantil SDIS.;6704759;Vervenal San Antonio;San Atonio Norte II Sector;1;Usaquén;Verbenal;9
1930002;Arabia;DG 82 SUR 18 I 35;Jardín Infantil SDIS.;7911971;Arabia;Arabia;19;Ciudad Bolívar;El Tesoro;68
130003;Verbenal;KR 18 A 187 75;Jardín Infantil SDIS.;6774525;El Cerezo;El Verbenal I;1;Usaquén;Verbenal;9
130004;Barrancas;AK 7 155 80;Jardín Infantil SDIS.;6705524;Bosque De Pinos III;Bosque de Pinos III;1;Usaquén;Los Cedros;13
230005;San Luis;CL 97 6 46 ESTE;Jardín Infantil SDIS.;5208226;San Luis Altos Del Cabo;San Luís Altos del Cabo;2;Chapinero;San Isidrio-Patios;89
230006;Juan XXIII;CL 65 B 1 19;Jardín Infantil SDIS.;SIN INFORMACION;Juan XXIII;Juan_XXIII;2;Chapinero;Pardo Rubio;90
330007;La Perseverancia;KR 1 33 0;Jardín Infantil SDIS.;2856629;Parque Nacional Oriental;Vereda Monserrate;3;Santa Fe;Sagrado Corazón;91
330008;Las Cruces;CL 1 C 5 A 30;Jardín Infantil SDIS.;2462715;Las Cruces;Las Cruces;3;Santa Fe;Las Cruces;95
330011;Goticas de Ilusion;KR 11 ESTE 1 A 73;Jardín Infantil SDIS.;2335627;El Rocio;El Consuelo;3;Santa Fe;Lourdes;96
330012;San Bernardo;CL 1 C 13 41;Jardín Infantil SDIS.;2466644;San Bernardino;San_Bernardo;3;Santa Fe;Las Cruces;95
230013;La Paz;CL 49 3 40 ESTE;Jardín Infantil SDIS.;3401880;Siberia Central Rural;Pardo Rubio;2;Chapinero;Pardo Rubio;90
430015;El Quindio;KR 16 A ESTE 46 C 20 SUR;Jardín Infantil SDIS.;2067597;Las Brisas;S.C. Las Brisas;4;San Cristóbal;La Gloria;50
430016;Bello Horizonte;Carrera 3A ESTE # 31C - 21 SUR;Jardín Infantil SDIS.;2061940;Bello Horizonte;Bello Horizonte II Sector;4;San Cristóbal;20 de Julio;34
530018;Betania;CL 76 B SUR 2 C 42 ESTE;Jardín Infantil SDIS.;2003369;La Cabana;Betania_;5;Usme;Gran Yomasa;57
530019;La Esperanza;CL 76 B SUR 14 39 ESTE;Jardín Infantil SDIS.;3654200;La Cabana;La Cabaña_;5;Usme;La Flora;52
530020;El Oasis;KR 3 D BIS 133 B 3 SUR;Jardín Infantil SDIS.;77082 22;Centro Usme Urbano;Ciudadela El Oasis;5;Usme;Ciudad Usme;61
630022;Tejares;KR 2 ESTE 75 B 40 SUR;Jardín Infantil SDIS.;2002099;Santa Librada Norte;Santa Librada Los Tejares;5;Usme;Gran Yomasa;57
630024;El Carmen;KR 28 48 A 17 SUR;Jardín Infantil SDIS.;2382942;Samore;Samore;6;Tunjuelito;Venecia;42
630025;Rafael Barberi Cualla;KR 36 50 B 35 SUR;Jardín Infantil SDIS.;2305932;Fatima;Fßtima;6;Tunjuelito;Venecia;42
630026;San Benito;CL 58 SUR 19 B 37;Jardín Infantil SDIS.;2794548;San Benito;San Benito;6;Tunjuelito;Tunjuelito;62
630028;Tunjuelito;CL 58 SUR 13 1;Jardín Infantil SDIS.;2790646;Tunjuelito;Tunjuelito;6;Tunjuelito;Tunjuelito;62
630029;Satelite Playon Playita;KR 11 A 52 54 SUR;Jardín Infantil SDIS.;7697913;Abraham Lincoln;Abraham Lincoln;6;Tunjuelito;Tunjuelito;62
730031;San Pablo de Calamo;CL 65 J SUR 77 N 23;Jardín Infantil SDIS.;7751080;La Estacion Bosa;S.C. La Estaci¾n Bosa;7;Bosa;Bosa Central;85
730032;Asovivir;KR 80 N BIS 70 10 SUR;Jardín Infantil SDIS.;7753748;San Pablo Bosa;Piamonte II Sector;7;Bosa;Bosa Central;85
730033;Los Cedros;KR 81 A 84 C 25 SUR;Jardín Infantil SDIS.;4488239;El Jardin;S.C. El Jardín;7;Bosa;Bosa Central;85
830034;Vision de Colombia;KR 79 G 13 9;Jardín Infantil SDIS.;2924294;Vision De Oriente;Visi¾n de Colombia;8;Kennedy;Castilla;46
830036;Luisa de Marillac;CL 38 A SUR 86 F 15;Jardín Infantil SDIS.;4511613;Patio Bonito II;Patio Bonito I Sector;8;Kennedy;Patio Bonito;82
830038;Pio Xii;KR 79 D 6 15;Jardín Infantil SDIS.;2928965;Pio XII;Pi¾ XII;8;Kennedy;Castilla;46
830039;La Igualdad;CL 2 68 A 80;Jardín Infantil SDIS.;9101333;Hipotecho Sur;La Igualdad;8;Kennedy;Americas;44
830040;Argelia;CL 39B SUR 72G 62;Jardín Infantil SDIS.;2046063;Las Delicias;San AndrÚs;8;Kennedy;Carvajal;45
830041;Delicias;CL 40 SUR 68G 03;Jardín Infantil SDIS.;2380715;Las Delicias;Tundama II Etapa;8;Kennedy;Carvajal;45
830042;Gran Colombiano;KR 79 F 41 56 SUR;Jardín Infantil SDIS.;2737030;Ciudad Kennedy Occidental;Kennedy Occidental Supermanzana 14;8;Kennedy;Kennedy Central;47
830043;Ciudad de Bogota;KR 80 43 43 SUR;Jardín Infantil SDIS.;4549160;Pastrana;Nuevo Kennedy;8;Kennedy;Gran Britalia;81
930044;Rafael Pombo;KR 97 A 19 35;Jardín Infantil SDIS.;2672996;Centro Fontibon;Centro Fontib¾n;9;Fontibón;Fontibón;75
1030046;Engativa;CL 66 B 122 3;Jardín Infantil SDIS.;4336083;Engativa Zona Urbana;S.C. Engativa Zona Urbana;10;Engativá;Engativa;74
1030048;Plazuelas del Virrey;CL 72 A 106 91;Jardín Infantil SDIS.;4429519;Villa Amalia;Plazuelas del Virrey;10;Engativá;Garcés Navas;73
1030049;Villa Cristina;KR 95 G 91 A 22;Jardín Infantil SDIS.;4332868;Ciudad Bachue;Villa Cristina;10;Engativá;El Minuto de Dios;29
1030050;Los Cerezos;KR 89 80 35;Jardín Infantil SDIS.;4342773;Los Cerezos;Los Cerezos;10;Engativá;El Minuto de Dios;29
1030051;San Marcos;KR 80 A 67 10;Jardín Infantil SDIS.;4342645;Santa Helenita;S.C. Santa Helenita;10;Engativá;Boyacá Real;30
1030052;Satelite Estrada;KR 69 N 64 7;Jardín Infantil SDIS.;2500086;Bosque Popular;S.C. Bosque Popular;10;Engativá;Las Ferias;26
1030053;Bella Vista;KR 68 G 67 A 10;Jardín Infantil SDIS.;6302587;Bellavista Occidental;S.C. Bellavista Occidental;10;Engativá;Las Ferias;26
1030054;Las Ferias;KR 69 K 73 90;Jardín Infantil SDIS.;2409029;Las Ferias Occidental;Las Ferias Occidental;10;Engativá;Las Ferias;26
1030055;Satelite Las Ferias;KR 69 I 69 A 41;Jardín Infantil SDIS.;6600164;Las Ferias Occidental;Las Ferias Occidental;10;Engativá;Las Ferias;26
1030056;Los Sauces;CL 69 121 29;Jardín Infantil SDIS.;;Centro Engativa II;S.C. Engativa Zona Urbana;10;Engativá;Engativa;74
830057;Jairo Anibal Niño;KR 79 B 41 B 34 SUR;Jardín Infantil SDIS.;4509395;Ciudad Kennedy Occidental;Kennedy Occidental Supermanzana 14;8;Kennedy;Kennedy Central;47
1030058;Garces Navas;CL 78 A 109 A 50;Jardín Infantil SDIS.;4428470;Garces Navas;GarcÚs Navas;10;Engativá;Garcés Navas;73
1130060;Gloria Lara;KR 94 D 131 3;Jardín Infantil SDIS.;6859799;Ttes De Colombia;Gloria Lara De Echeverry II;11;Suba;El Rincón;28
1130061;La Manuelita;AK 91 129 A 10;Jardín Infantil SDIS.;6813400;Villa Alcazar;Urb. La Manuelita;11;Suba;El Rincón;28
1130062;Julio Flores;KR 68 B 94 A 98;Jardín Infantil SDIS.;2714357;Julio Florez;Julio Florez;11;Suba;La Floresta;25
1130063;Helvetia;CL 129 55 5;Jardín Infantil SDIS.;2539466;Prado Veraniego Sur;Prado Sur;11;Suba;Niza;24
1130064;Aures;Cl 130 B  96 57;Jardín Infantil SDIS.;3152996470;Ttes De Colombia;El Naranjal;11;Suba;El Rincón;28
1230065;La Inmaculada;CL 73 51 27;Jardín Infantil SDIS.;3108810;Doce De Octubre;12 de Octubre;12;Barrios Unidos;Doce de Octubre;22
1230066;Santa Sofia;KR 28 B 75 11;Jardín Infantil SDIS.;3115074;Once De Noviembre;11 de Noviembre;12;Barrios Unidos;Los Alcázares;98
1230068;El Rosario;CL 63 B BIS 35 A 49;Jardín Infantil SDIS.;3150599;El Rosario;El Rosario;12;Barrios Unidos;Parque El Salitre;103
1230069;Rionegro;CL 99 60 46;Jardín Infantil SDIS.;2565945;Los Andes;Los_Andes;12;Barrios Unidos;Los Andes;21
1830071;Marco A. Iriarte;KR 21 23 21 SUR;Jardín Infantil SDIS.;2392601;Olaya;S.C. Olaya;18;Rafael Uribe;Quiroga;39
1830072;Samore;CL 41 SUR 31 77;Jardín Infantil SDIS.;2708080;Ingles;S.C. Ingles;18;Rafael Uribe;Quiroga;39
1830073;Socorro Sur;KR 15 A 50 24 SUR;Jardín Infantil SDIS.;2059272;Marco Fidel Suarez I;El Socorro II Sector;18;Rafael Uribe;Marruecos;54
1830076;Acacias;TV 13 32B 51 SUR;Jardín Infantil SDIS.;2727118;Granjas De Santa Sofia;Resurrecci¾n;18;Rafael Uribe;Marco Fidel Suárez;53
1830077;Pijaos;KR 10 B 35 2 SUR;Jardín Infantil SDIS.;2093455;San Luis;Los Pijaos;18;Rafael Uribe;San José;36
1430079;Jorge Bejarano;CL 10 29 48;Jardín Infantil SDIS.;2478735;Ricaurte;Ricaurte;14;Los Mártires;La Sabana;102
1430080;Nuevos Pasos;CL 5 A 26 A 17;Jardín Infantil SDIS.;3754176;El Progreso;Veraguas;14;Los Mártires;Santa Isabel;37
1630081;Antonio Nariño;KR 59 17 71;Jardín Infantil SDIS.;2603103;Puente Aranda;Puente Aranda;16;Puente Aranda;Puente Aranda;111
1530082;Restrepo;KR 20 19 26 SUR;Jardín Infantil SDIS.;2786780;Restrepo Occidental;Restrepo Occidental;15;Antonio Nariño;Restrepo;38
1530083;Santander;KR 29 B 26 10 SUR;Jardín Infantil SDIS.;2023180;Santander Sur;Santander_;15;Antonio Nariño;Restrepo;38
1630084;Alcala Muzu;KR 52 37 5 SUR;Jardín Infantil SDIS.;2702254;Alqueria;La Alquería;16;Puente Aranda;Muzú;41
1630085;Camelia;TV 57 1 60 SUR;Jardín Infantil SDIS.;2615237;Galan;Galßn;16;Puente Aranda;San Rafael;43
1630086;Calixto Torres;KR 65 4 17;Jardín Infantil SDIS.;2603602;La Pradera;La Pradera;16;Puente Aranda;San Rafael;43
1630087;Trinidad Galan;KR 60 # 4 - 15;Jardín Infantil SDIS.;2619277;San Gabriel;San Gabriel;16;Puente Aranda;San Rafael;43
1630088;Satelite Primavera;KR 41 B 5 57;Jardín Infantil SDIS.;2011453;Primavera Occidental;Primavera Occidental;16;Puente Aranda;Ciudad Montes;40
1630089;Bochica;CL 1 A BIS 35 20;Jardín Infantil SDIS.;3511184;Santa Matilde;Santa Matilde;16;Puente Aranda;Ciudad Montes;40
1930092;Arborizadora Baja;CL 59 B SUR 43 17;Jardín Infantil SDIS.;7188804;Arborizadora Baja;Arborizadora Baja;19;Ciudad Bolívar;Arborizadora;65
1930093;San Francisco;KR 20 A 67 27 SUR;Jardín Infantil SDIS.;7150642;San Francisco;San Francisco II Sector;19;Ciudad Bolívar;San Francisco;66
1930094;La Estancia;KR 74 G 59 87 SUR;Jardín Infantil SDIS.;7807486;La Estancia;La Estancia;19;Ciudad Bolívar;Ismael Perdomo;69
1930095;Urapanes;KR 18 A 80 82 SUR;Jardín Infantil SDIS.;7910074;Quiba;Los Urapanes;19;Ciudad Bolívar;El Tesoro;68
1430097;Casa de Desarrollo Integral la Libelulosa;KR 15 8 57;Jardín Infantil SDIS.;3186178451;Voto Nacional;Voto Nacional;14;Los Mártires;La Sabana;102
1830098;Chiquitines del Bosque;KR 5 A BIS 48 P 84 SUR;Jardín Infantil SDIS.;7391506;San Agustin;El Bosque de los Molinos;18;Rafael Uribe;Diana Turbay;55
130099;Obra Suiza;Cl 182 6 21;Jardín Infantil SDIS.;6705611;Horizontes Norte;El Codito;1;Usaquén;Verbenal;9
130101;Verbenal Orientando Tus Pasitos;KR 17 BIS 186 C 8;Jardín Infantil SDIS.;6794659;El Vervenal;El Verbenal II Sector;1;Usaquén;Verbenal;9
1930102;Maravilla Infantiles Nueva Colombia Sur;Calle 70 K SUR # 18 L - 49;Jardín Infantil SDIS.;7665022-3003966430;;;19;Ciudad Bolívar;Lucero;67
930103;La Cabaña Fontibon;KR 104 A BIS 23 G 44;Jardín Infantil SDIS.;4151723-3213734360;La Cabana Fontibon;La Giralda;9;Fontibón;Fontibón;75
930104;El Portal;TV 124 18 A 79;Jardín Infantil SDIS.;4219725;;;9;Fontibón;Fontibón San Pablo;76
1430105;Los Martires;CL 3 B 29 57;Jardín Infantil SDIS.;SIN INFORMACION;SANTA ISABEL;Santa Isabel;14;Los Mártires;Santa Isabel;37
1530106;Baúl de Colores;CL 13 A SUR 10 49;Jardín Infantil SDIS.;3142648071;Ciudad Jardin Sur;Ciudad Jardín del Sur;15;Antonio Nariño;Ciudad Jardín;35
730030;Laureles;CL 73 SUR 81 B 10;Jardín Infantil SDIS.;7804759;Gran Colombiano;Grancolombiano II Sector;7;Bosa;Bosa Central;85
830035;Patio Bonito Satelite;KR 87 5 B 21;Jardín Infantil SDIS.;2735498;Patio Bonito;Patio Bonito II Sector;8;Kennedy;Patio Bonito;82
930045;La Giralda;CL 23 104 B 15;Jardín Infantil SDIS.;4183734;La Cabana Fontibon;La Giralda;9;Fontibón;Fontibón;75
1130059;Suba;CL 146 C BIS 91 42;Jardín Infantil SDIS.;6815458;Suba Urbano;S.C. Suba Urbano;11;Suba;Suba;27
1230067;Maria Goretti;CL 67 D 58 14;Jardín Infantil SDIS.;2400285;Popular Modelo;Popular Modelo;12;Barrios Unidos;Doce de Octubre;22
1830070;Colinas;KR 15 C 31 G 40 SUR;Jardín Infantil SDIS.;2786696;Gustavo Restrepo;Gustavo Restrepo;18;Rafael Uribe;San José;36
1430078;Samper Mendoza;KR 22 22 A 62;Jardín Infantil SDIS.;2681805;Santa Fe;Santa Fe;14;Los Mártires;La Sabana;102
1999001;Bellavista;CL 69 SUR 18 B 36;Salon S.D.I.S. - Uso Libre;SIN INFORMACION;Bellavista Lucero Alto;Bellavista Lucero Alto;19;Ciudad Bolívar;Lucero;67
1999002;Salon San Francisco;KR 22 64 99 SUR;Salon S.D.I.S. - Uso Libre;SIN INFORMACION;Las Acacias;San Francisco I Sector;19;Ciudad Bolívar;San Francisco;66
301001;Archivo-Soporte Tecnico Sistemas;KR 5 33 44;Sede Administrativa;3279797 EXT. 1079;La Perseverancia;La Perseverancia;3;Santa Fe;La Macarena;92
1001004;Supervision Adultez;CL 63 D 69 74;Sede Administrativa;6306267;Bosque Popular;Bosque Popular - El Trébol;10;Engativá;Las Ferias;26
1201005;Casa Gaitan;KR 54 78 40;Sede Administrativa;2409454 - 3108187;Jorge Eliecer Gaitan;Jorge Eliécer Gaitan;12;Barrios Unidos;Doce de Octubre;22
1701007;Subdireccion Identificacion Caracterizacion e Integracion Social (Casa Rosada);CL 12 3 79;Sede Administrativa;3444630;La Catedral;La Catedral;17;Candelaria;La Candelaria;94
301002;Nivel Central;AK 7 32 16 PISO 6;Sede Administrativa;3279797;San Martin;San_Martín;3;Santa Fe;Sagrado Corazón;91
401003;Subdireccion para La  Adultez Acercamiento;AC 11 SUR 1 B 10 ESTE;Sede Administrativa;2332284;La Maria;Balkanes;4;San Cristóbal;Sosiego;33
401003;Gestion de Oportunidades y Seguridad Economica;AC 11 SUR 1 B 10 ESTE;Sede Administrativa;2332284;La Maria;Balkanes;4;San Cristóbal;Sosiego;33
1301006;Subdireccion Adultez-Proyecto Adultez con Oportunidades;KR 16 A 30 74;Sede Administrativa;2455103;Armenia;Armenia;13;Teusaquillo;Teusaquillo;101
105001;Subd Local Usaquen;CL 165 7 38;Subdirección Local para la Integración Social;6781969 - 6724183 - 6718137 - 6707198 - 6702277;Santa Teresa;Santa Teresa;1;Usaquén;La Uribe;10
