ESTABLECIMIENTO;DIRECCION;LOCALIDAD;BARRIO;ZONA_SITP;FECHA CORTE
CAFE INTERNET HADER ESTEBAN;CARRERA 121 No 67 - 31;ENGATIVA;CENTRO ENGATIVA II;Engativa;01/09/2014
CAFE INTERNET VIVERES EL BOSQUE;CALLE 66 BIS No 113B - 20;ENGATIVA;CENTRO ENGATIVA II;Engativa;01/09/2014
DROGUERIA LEYVA 1A;CALLE 70A BIS No 115D - 96;ENGATIVA;CENTRO ENGATIVA II;Engativa;01/09/2014
CAFE INTERNET MINUTOS ORTIZ;CALLE 89 No 87 - 56;ENGATIVA;LOS CEREZOS;Calle 80;01/09/2014
PAPELERIA OLIMPO;CALLE 90 No 87B - 44;ENGATIVA;LOS CEREZOS;Calle 80;01/09/2014
MULTISERVICIOS J Y D;CALLE 90 No 86 - 05;ENGATIVA;LOS CEREZOS;Calle 80;01/09/2014
CAFE INTERNET LEO CASALLAS;CARRERA 87A No 86 - 51;ENGATIVA;LOS CEREZOS;Calle 80;01/09/2014
CABINAS TELEFONICAS  JULIA MARLEN;CALLE 70 A BIS No 117A 16 CASA 7;ENGATIVA;LA FAENA;Engativa;01/09/2014
CAFE INTERNET VILLA CLAUDIA;CARRERA 121 No 69B - 05;ENGATIVA;LA FAENA;Engativa;01/09/2014
CAFE INTERNET RIVERTEL;CARRERA 121 No 69C - 15;ENGATIVA;LA FAENA;Engativa;01/09/2014
VARIEDADES Y PAPELERIA DIDIER;CALLE 70 C  No 112 - 41;ENGATIVA;LA RIVIERA;Engativa;01/09/2014
INTERNETOPIA WEB;CARRERA 116 B No 70A 75;ENGATIVA;LA RIVIERA;Engativa;01/09/2014
CAFE INTERNET MUNDO DE COMUNICACIONES;CARRERA 76 No 89A - 21;ENGATIVA;LA SERENA;Calle 80;01/09/2014
CAFE INTERNET MULTISERVICIOS NET;CALLE 90  NRO 84 B - 04;ENGATIVA;LA SERENA;Calle 80;01/09/2014
DROGUERIA DROGAS MAFERST;TRANSVERSAL 86A No 83A - 63;ENGATIVA;LOS CEREZOS;Calle 80;01/09/2014
CABINAS TELEFONICAS CERECOMUNICACIONES;DIAGONAL 83C No 86A - 23;ENGATIVA;LOS CEREZOS;Calle 80;01/09/2014
PANADERIA Y CAFETERIA EL OFERTAZO;CALLE 70A No 90B - 29;ENGATIVA;FLORIDA BLANCA;Engativa;01/09/2014
CAFE INTERNET TECNO CELULAR COMUNICACIONES;CALLE 71C No 94A - 93;ENGATIVA;LOS ALAMOS;Engativa;01/09/2014
PRODUCTOS QUIMICOS KIMIA Y SUMINISTROS;CARRERA 96 No 71A - 26;ENGATIVA;LOS ALAMOS;Engativa;01/09/2014
MENSAJERIA INTERRAPIDISIMO EL ENCANTO;CALLE 64F No 74 - 39;ENGATIVA;EL ENCANTO;Engativa;01/09/2014
LA GRAN PAPELERA;CALLE 64F No 76A - 11;ENGATIVA;EL ENCANTO;Engativa;01/09/2014
CAFE INTERNET COMUNICACIONES LAYVAN;CALLE 63F No 72A - 05;ENGATIVA;EL ENCANTO;Engativa;01/09/2014
DROGUERIA SERVIFARMA RS;CALLE 64 F NRO 73B - 19;ENGATIVA;EL ENCANTO;Engativa;01/09/2014
MISCELANEA Y PAPELERIA LUCIA;CARRERA 76 No 63F - 07 INTERIOR 1;ENGATIVA;EL ENCANTO;Engativa;01/09/2014
CAFE INTERNET JUANPA NET;CARRERA 77A No 64B - 30;ENGATIVA;EL ENCANTO;Engativa;01/09/2014
CAFE INTERNET DANTE COMUNICACIONES;CALLE 64F No 74B - 41;ENGATIVA;EL ENCANTO;Engativa;01/09/2014
DROGUERIA SUPER TRIUNFO;CALLE 64 C  NRO 72 - 29;ENGATIVA;EL ENCANTO;Engativa;01/09/2014
CAFE INTERNET COFFE STATIONARY;CARRERA 100 No 50B - 45 SUR SECTOR 2 PISO 2;ENGATIVA;LOS ALAMOS;Engativa;01/09/2014
CAFE INTERNET OVI;CALLE 68A No 111C - 24;ENGATIVA;MARANDU;Engativa;01/09/2014
CAFE INTERNET NIKY MOUSE A PHONE;CARRERA 112 No 64D - 21;ENGATIVA;MARANDU;Engativa;01/09/2014
TIENDA PATUMASCOTA;CALLE 81 No 116A - 36 LOCAL 116 SEGUNDO PISO;ENGATIVA;EL CORTIJO;Calle 80;01/09/2014
